#月份,       收入, 仅计税, 养老基数,  医疗基数, 失业基数, 公积金基数, 公积金比例, 平均工资, 计算配平, 算税清空标记, 重复减免标记, 月度专项扣除
   01,   18100.00,    0.0,    14100,     14100,    14100,      11000,       0.05,       -1,        0,            n,            n,            0
   02,   31124.32,    0.0,    14100,     14100,    14100,      11000,       0.05,       -1,        0,            n,            n,            0
   03,   19391.50,    0.0,    14100,     14100,    14100,      11000,       0.05,       -1,      500,            n,            n,            0
   04,   21827.59,    0.0,    14100,     14100,    14100,      11000,       0.05,       -1,        0,            n,            n,            0
   05,   19396.55,    0.0,    14100,     14100,    14100,      11000,       0.05,       -1,        0,            n,            n,            0
   06,   20693.10,    0.0,    14100,     14100,    14100,      11000,       0.05,       -1,        0,            n,            n,            0
   07,   22589.66,    0.0,    14100,     14100,    14100,      14100,       0.05,       -1,      500,            n,            n,            0
   08,   18100.00,    0.0,    14100,     14100,    14100,      14100,       0.05,       -1,        0,            n,            n,            0
   09,   18766.00,    0.0,    14100,     14100,    14100,      14100,       0.05,       -1,        0,            n,            n,            0
   10,   18100.00,    0.0,    14100,     14100,    14100,      14100,       0.05,       -1,        0,            n,            n,            0
   11,   32928.00,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,        0,            n,            n,            0
   12,   20100.00,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,        0,            n,            n,            0

#奖金,      收入, 奖金税, 奖金月份, 单独计税标记
   bo,  71531.00,      0,        5,            y
